TUCASEID,newAct,remote,TUACTDUR24
20180101180165,Doing housework,Non-remote,30.0
20180101180165,Eating & Drinking,Non-remote,120.0
20180101180165,Exercising,Non-remote,0.0
20180101180165,Sleeping,Non-remote,479.0
20180101180165,Socialising & relaxing,Non-remote,30.0
20180101180165,Travelling,Non-remote,35.0
20180101180165,Working,Non-remote,510.0
20180101180507,Doing housework,Remote,0.0
20180101180507,Eating & Drinking,Remote,60.0
20180101180507,Exercising,Remote,0.0
20180101180507,Sleeping,Remote,525.0
20180101180507,Socialising & relaxing,Remote,184.0
20180101180507,Travelling,Remote,97.0
20180101180507,Working,Remote,505.0
20180101180524,Doing housework,Remote,0.0
20180101180524,Eating & Drinking,Remote,20.0
20180101180524,Exercising,Remote,0.0
20180101180524,Sleeping,Remote,500.0
20180101180524,Socialising & relaxing,Remote,200.0
20180101180524,Travelling,Remote,20.0
20180101180524,Working,Remote,605.0
20180101180542,Doing housework,Remote,0.0
20180101180542,Eating & Drinking,Remote,120.0
20180101180542,Exercising,Remote,0.0
20180101180542,Sleeping,Remote,375.0
20180101180542,Socialising & relaxing,Remote,90.0
20180101180542,Travelling,Remote,130.0
20180101180542,Working,Remote,340.0
20180101180549,Doing housework,Remote,174.0
20180101180549,Eating & Drinking,Remote,55.0
20180101180549,Exercising,Remote,0.0
20180101180549,Sleeping,Remote,540.0
20180101180549,Socialising & relaxing,Remote,170.0
20180101180549,Travelling,Remote,50.0
20180101180549,Working,Remote,185.0
20180101180571,Doing housework,Remote,0.0
20180101180571,Eating & Drinking,Remote,60.0
20180101180571,Exercising,Remote,0.0
20180101180571,Sleeping,Remote,515.0
20180101180571,Socialising & relaxing,Remote,60.0
20180101180571,Travelling,Remote,70.0
20180101180571,Working,Remote,20.0
20180101180576,Doing housework,Remote,0.0
20180101180576,Eating & Drinking,Remote,75.0
20180101180576,Exercising,Remote,0.0
20180101180576,Sleeping,Remote,710.0
20180101180576,Socialising & relaxing,Remote,140.0
20180101180576,Travelling,Remote,150.0
20180101180576,Working,Remote,90.0
20180101180648,Doing housework,Non-remote,65.0
20180101180648,Eating & Drinking,Non-remote,15.0
20180101180648,Exercising,Non-remote,80.0
20180101180648,Sleeping,Non-remote,466.0
20180101180648,Socialising & relaxing,Non-remote,145.0
20180101180648,Travelling,Non-remote,132.0
20180101180648,Working,Non-remote,222.0
20180101180700,Doing housework,Non-remote,0.0
20180101180700,Eating & Drinking,Non-remote,40.0
20180101180700,Exercising,Non-remote,0.0
20180101180700,Sleeping,Non-remote,415.0
20180101180700,Socialising & relaxing,Non-remote,335.0
20180101180700,Travelling,Non-remote,95.0
20180101180700,Working,Non-remote,295.0
20180101180708,Doing housework,Non-remote,0.0
20180101180708,Eating & Drinking,Non-remote,40.0
20180101180708,Exercising,Non-remote,0.0
20180101180708,Sleeping,Non-remote,510.0
20180101180708,Socialising & relaxing,Non-remote,171.0
20180101180708,Travelling,Non-remote,180.0
20180101180708,Working,Non-remote,495.0
20180101180726,Doing housework,Non-remote,0.0
20180101180726,Eating & Drinking,Non-remote,60.0
20180101180726,Exercising,Non-remote,0.0
20180101180726,Sleeping,Non-remote,540.0
20180101180726,Socialising & relaxing,Non-remote,210.0
20180101180726,Travelling,Non-remote,30.0
20180101180726,Working,Non-remote,570.0
20180101180788,Doing housework,Non-remote,0.0
20180101180788,Eating & Drinking,Non-remote,30.0
20180101180788,Exercising,Non-remote,60.0
